census_tract,children_with_bll_gte_5_micrograms_per_deciliter,children_lt_6_screened,percent_children_with_bll_gte_micrograms_per_deciliter
42101030700,,148,
42101030800,9,190,4.7
42101030900,8,260,3.1
42101031000,,329,
42101031101,10,313,3.2
42101031102,9,267,3.4
42101031200,13,286,4.5
42101031300,16,493,3.2
42101031401,18,453,4.0
42101031402,8,320,2.5
42101031501,6,268,2.2
42101031502,,178,
42101031600,6,260,2.3
42101031700,7,361,1.9
42101031800,6,225,2.7
42101031900,6,292,2.1
42101032000,7,342,2.0
42101032100,,207,
42101032300,8,227,3.5
42101032500,8,276,2.9
42101032600,9,321,2.8
42101032900,8,205,3.9
42101033000,9,413,2.2
42101033101,,179,
42101033102,,159,
42101033200,0,87,0.0
42101033300,,103,
42101033400,6,184,3.3
42101033500,,163,
42101033600,7,309,2.3
42101033701,,220,
42101033702,,185,
42101033800,,214,
42101033900,,101,
42101034000,,77,
42101034100,,146,
42101034200,0,71,0.0
42101034400,,159,
42101034501,,132,
42101034502,,258,
42101034600,0,88,0.0
42101034701,0,207,0.0
42101034702,,82,
42101034801,,108,
42101034802,,198,
42101034803,,146,
42101034900,,275,
42101035100,0,50,0.0
42101035200,,88,
42101035301,0,97,0.0
42101035302,,113,
42101035500,,211,
42101035601,0,98,0.0
42101035602,0,79,0.0
42101035701,,181,
42101035702,,155,
42101035800,0,122,0.0
42101035900,,121,
42101036000,,66,
42101036100,,105,
42101036201,0,111,0.0
42101036202,,133,
42101036203,,114,
42101036301,0,92,0.0
42101036302,,101,
42101036303,0,115,0.0
42101036400,0,6,0.0
42101036501,,120,
42101036502,,81,
42101036600,0,80,0.0
42101036700,,125,
42101036900,0,33,0.0
42101037200,,174,
42101037300,,143,
42101037500,9,98,9.2
42101037600,,153,
42101037700,13,249,5.2
42101037800,6,114,5.3
42101037900,,244,
42101038000,11,112,9.8
42101038100,,57,
42101038200,17,211,8.1
42101038300,15,262,5.7
42101038400,,82,
42101038500,,42,
42101038600,,34,
42101038700,,81,
42101038800,11,214,5.1
42101038900,9,158,5.7
42101039000,26,537,4.8
42101980000,0,7,0.0
42101980100,,,
42101980200,,,
42101980700,,,
42101980800,,,
42101980900,,,
42101989100,,,
